2015-06-17 16:14:04,657 [Dummy-1:4396] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 16:14:04,661 [Dummy-1:4396] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SHOW TABLES; args=None
2015-06-17 16:14:04,674 [Dummy-1:4396] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2015-06-17 16:14:07,707 [Thread-4:5720] [app01.views:16] [views:index1] [ERROR]- [Errno 2] No such file or directory: 'ddd.txt'
2015-06-17 16:36:30,355 [Dummy-1:2400] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 16:36:30,387 [Dummy-1:2400] [django.db.backends:91] [utils:execute] [DEBUG]- (0.029) SHOW TABLES; args=None
2015-06-17 16:36:30,420 [Dummy-1:2400] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2015-06-17 17:24:13,209 [Dummy-1:6172] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:24:13,259 [Dummy-1:6172] [django.db.backends:91] [utils:execute] [DEBUG]- (0.035) SHOW TABLES; args=None
2015-06-17 17:24:13,292 [Dummy-1:6172] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2015-06-17 17:24:53,371 [Thread-20:5468] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:24:53,427 [Thread-20:5468] [django.db.backends:91] [utils:execute] [DEBUG]- (0.054) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
2015-06-17 17:24:54,016 [Thread-20:5468] [django.db.backends:91] [utils:execute] [DEBUG]- (0.577) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'knb7zgqfk5rlneb6h3yymifezc4qnhhe' AND `django_session`.`expire_date` > '2015-06-17 09:24:53') LIMIT 21; args=('knb7zgqfk5rlneb6h3yymifezc4qnhhe', u'2015-06-17 09:24:53')
2015-06-17 17:24:54,088 [Thread-20:5468] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
2015-06-17 17:24:54,144 [Thread-20:5468] [django.db.backends:91] [utils:execute] [DEBUG]- (0.050) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs`; args=()
2015-06-17 17:24:57,519 [Thread-28:7888] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:24:57,520 [Thread-28:7888] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
2015-06-17 17:24:57,546 [Thread-28:7888] [django.db.backends:91] [utils:execute] [DEBUG]- (0.018) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'knb7zgqfk5rlneb6h3yymifezc4qnhhe' AND `django_session`.`expire_date` > '2015-06-17 09:24:57') LIMIT 21; args=('knb7zgqfk5rlneb6h3yymifezc4qnhhe', u'2015-06-17 09:24:57')
2015-06-17 17:24:57,549 [Thread-28:7888] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
2015-06-17 17:24:57,556 [Thread-28:7888] [django.db.backends:91] [utils:execute] [DEBUG]- (0.006) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs` WHERE `app01_bbs`.`category_id` = 1; args=(1,)
2015-06-17 17:24:57,936 [Thread-29:7884] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:24:57,937 [Thread-29:7884] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
2015-06-17 17:24:57,943 [Thread-29:7884] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'knb7zgqfk5rlneb6h3yymifezc4qnhhe' AND `django_session`.`expire_date` > '2015-06-17 09:24:57') LIMIT 21; args=('knb7zgqfk5rlneb6h3yymifezc4qnhhe', u'2015-06-17 09:24:57')
2015-06-17 17:24:57,947 [Thread-29:7884] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
2015-06-17 17:24:57,950 [Thread-29:7884] [django.db.backends:91] [utils:execute] [DEBUG]- (0.002) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs` WHERE `app01_bbs`.`category_id` = 1; args=(1,)
2015-06-17 17:25:01,940 [Thread-38:6704] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
